Año,Semana,Precio Gasolina,Precio Gasoleo
2009,Semana 21,0.983,0.877
2009,Semana 22,1.005,0.874
2009,Semana 23,1.004,0.872
2009,Semana 24,1.025,0.904
2009,Semana 25,1.075,0.951
2009,Semana 26,1.1,0.961
2009,Semana 27,1.083,0.953
2009,Semana 28,1.066,0.944
2009,Semana 29,1.048,0.919
2009,Semana 30,1.034,0.905
2009,Semana 31,1.047,0.93
2009,Semana 32,1.072,0.945
2009,Semana 33,1.099,0.97
2009,Semana 34,1.098,0.97
2009,Semana 35,1.091,0.969
2009,Semana 36,1.077,0.962
2009,Semana 37,1.066,0.949
2009,Semana 38,1.054,0.937
2009,Semana 39,1.052,0.936
2009,Semana 40,1.032,0.927
2009,Semana 41,1.027,0.925
2009,Semana 42,1.037,0.935
2009,Semana 43,1.055,0.957
2009,Semana 44,1.069,0.969
2009,Semana 45,1.08,0.977
2009,Semana 46,1.079,0.976
2009,Semana 47,1.07,0.967
2009,Semana 48,1.072,0.968
2009,Semana 49,1.065,0.961
2009,Semana 50,1.069,0.965
2009,Semana 51,1.06,0.957
2009,Semana 52,1.052,0.955
2010,Semana 1,1.0705,0.971
2010,Semana 2,1.089,0.987
2010,Semana 3,1.108,1.009
2010,Semana 4,1.104,1.001
2010,Semana 5,1.1,0.995
2010,Semana 6,1.095,0.987
2010,Semana 7,1.105,0.994
2010,Semana 8,1.098,0.987
2010,Semana 9,1.107,1.005
2010,Semana 10,1.119,1.01
2010,Semana 11,1.135,1.023
2010,Semana 12,1.156,1.036
2010,Semana 13,1.158,1.044
2010,Semana 14,1.169,1.053
2010,Semana 15,1.177,1.0699999999999998
2010,Semana 16,1.185,1.087
2010,Semana 17,1.177,1.077
2010,Semana 18,1.175,1.081
2010,Semana 19,1.189,1.1
2010,Semana 20,1.189,1.102
2010,Semana 21,1.181,1.095
2010,Semana 22,1.159,1.07
2010,Semana 23,1.152,1.066
2010,Semana 24,1.164,1.078
2010,Semana 25,1.165,1.088
2010,Semana 26,1.175,1.099
2010,Semana 27,1.167,1.094
2010,Semana 28,1.179,1.094
2010,Semana 29,1.166,1.076
2010,Semana 30,1.165,1.076
2010,Semana 31,1.165,1.076
2010,Semana 32,1.167,1.079
2010,Semana 33,1.175,1.1
2010,Semana 34,1.167,1.091
2010,Semana 35,1.152,1.075
2010,Semana 36,1.156,1.085
2010,Semana 37,1.163,1.088
2010,Semana 38,1.169,1.092
2010,Semana 39,1.179,1.099
2010,Semana 40,1.155,1.089
2010,Semana 41,1.152,1.09
2010,Semana 42,1.172,1.103
2010,Semana 43,1.175,1.096
2010,Semana 44,1.173,1.095
2010,Semana 45,1.1720000000000002,1.099
2010,Semana 46,1.171,1.103
2010,Semana 47,1.196,1.133
2010,Semana 48,1.19,1.116
2010,Semana 49,1.207,1.129
2010,Semana 50,1.23,1.147
2010,Semana 51,1.241,1.164
2010,Semana 52,1.235,1.166
2011,Semana 1,1.2455,1.1764999999999999
2011,Semana 2,1.256,1.187
2011,Semana 3,1.265,1.193
2011,Semana 4,1.285,1.217
2011,Semana 5,1.271,1.21
2011,Semana 6,1.258,1.204
2011,Semana 7,1.27,1.234
2011,Semana 8,1.271,1.236
2011,Semana 9,1.284,1.247
2011,Semana 10,1.308,1.267
2011,Semana 11,1.321,1.289
2011,Semana 12,1.324,1.292
2011,Semana 13,1.305,1.293
2011,Semana 14,1.33,1.287
2011,Semana 15,1.336,1.292
2011,Semana 16,1.354,1.308
2011,Semana 17,1.363,1.302
2011,Semana 18,1.3719999999999999,1.298
2011,Semana 19,1.381,1.294
2011,Semana 20,1.346,1.241
2011,Semana 21,1.345,1.244
2011,Semana 22,1.325,1.239
